"","fpr","tpr"
"216",0.824624935333678,1
"217",0.824107604759441,1
"218",0.823590274185204,1
"219",0.823072943610967,1
"220",0.82255561303673,1
"221",0.822038282462494,1
"222",0.821520951888257,1
"223",0.82100362131402,1
"224",0.820486290739783,1
"225",0.819968960165546,1
"226",0.819451629591309,1
"227",0.818934299017072,1
"228",0.816347646145887,1
"229",0.815312984997413,1
"230",0.814795654423176,1
"231",0.81427832384894,1
"232",0.813243662700466,1
"233",0.811691670977755,1
"234",0.811174340403518,1
"235",0.810657009829281,1
"236",0.810139679255044,1
"237",0.809622348680807,1
"238",0.808070356958096,1
"239",0.807553026383859,1
"240",0.807035695809622,1
"241",0.806518365235385,1
"242",0.806001034661148,1
"243",0.805483704086912,1
"244",0.804449042938438,1
"245",0.803414381789964,1
