"","duration","orig_bytes","resp_bytes","orig_ip_bytes","resp_ip_bytes","http"
"70378",0.19062035960865,7.10249935577465,7.57353126274595,8.00803284696931,8.36799688505411,1
"74438",0.0295588022415444,6.18414889093748,9.00380808646717,6.70563909486,9.04852707581358,0
"177444",0.104360015324243,6.69703424766648,7.67832635650689,7.11801620446533,7.83715965000168,1
"207821",0.00995033085316809,5.71042701737487,8.16961956172385,6.57088296233958,8.25634777291802,0
"5785",0.231111720963387,5.2257466737132,5.23644196282995,6.11809719804135,5.8636311755981,0
"36248",0.104360015324243,6.08677472691231,7.12286665859908,6.63331843328038,7.28344822875663,0
"73897",0.0295588022415444,6.25575004175337,9.00380808646717,6.74875954749168,9.04852707581358,0
"73972",0.0295588022415444,6.24222326545517,9.00589589809446,6.74051935960622,9.0505236705223,0
"75392",0.00995033085316809,5.63835466933375,6.24027584517077,6.20050917404269,6.58617165485467,0
"73548",0.00995033085316809,5.27299955856375,6.19644412779452,6.00881318544259,6.49677499018586,0
"71724",0.0198026272961797,5.69035945432406,10.152766577455,6.66949808985788,10.1869356744558,0
"100706",1.35066718347674,5.24702407216049,7.40000951716269,6.26530121273771,7.57865685059476,0
"226805",2.38416507998647,7.14834574390007,7.57250298502038,7.63046126178363,7.91278922069068,1
"218104",2.16447179086441,5.70711026474888,0,6.15060276844628,0,1
